userid,test_group,first_visit_at,order_completed_at,time_to_order,region,marketing_group,product_review,successful_orders,average_receipt_rub,read_pushes
18c7fcdf42244f78ad5d732961305d16,control,2022-03-10,2022-03-12,60,Novosibirsk,social_media,no_reviews,15,51422,19
807fd9c644f740f7ace53e10d9558106,control,2022-03-15,2022-03-17,61,Omsk,social_media,video_and_photo,16,37166,17
550e06a9d1124b01bace5bd938b71443,control,2022-03-06,2022-03-08,61,Yekaterinburg,target,no_reviews,6,18037,24
5e6c34d5c8fd4efd957b14cb9ae88a88,control,2022-03-20,2022-03-22,67,Kazan,email_maketing,video_and_photo,17,73179,24
251d267f5c0b4d32a126bbe072484d88,control,2022-03-08,2022-03-09,33,Moscow,email_maketing,no_reviews,5,34663,18
5fed75bf98004f61a90f5ba5a9b7c6da,control,2022-03-14,2022-03-14,22,Omsk,social_media,photo,1,15394,19
9ae0c0ff4b2b46b786c8e7f735b3a476,control,2022-03-19,2022-03-21,56,Omsk,target,text,11,18264,9
8b520951cb114dda9158dbac859fb0ce,control,2022-03-19,2022-03-19,9,Moscow,target,video_and_photo,12,66900,8
03f795d8bbbf41519d0ce9788a9817ba,control,2022-03-18,2022-03-19,40,Samara,target,video,18,24503,31
ce10695ded56448bb8f498e9cacf7184,control,2022-03-01,2022-03-02,24,Kazan,social_media,photo,19,38988,4
356b491c02ed4c2480bcd8cb93775c96,control,2022-03-20,2022-03-22,59,Yekaterinburg,social_media,video_and_photo,11,29649,2
07e654c67fff42b08165b42a76d28b40,control,2022-03-10,2022-03-12,65,region,target,video,6,55810,22
b6d215faf9c549f991db92d1d9144495,control,2022-03-03,2022-03-05,49,Chelyabinsk,target,no_reviews,6,43693,5
fa2b1b1956ec4d6cada9ea63fa8693c2,control,2022-03-06,2022-03-06,12,Kazan,target,video_and_photo,10,28719,3
0e7a7af8a4d443b6a986367383e465d5,control,2022-03-08,2022-03-10,59,Moscow,target,no_reviews,2,40119,0
6e487506afc3468d926e7c2910b545c8,control,2022-03-18,2022-03-19,29,Saint Petersburg,social_media,video,8,80790,9
da26f59f290442bdb04efec952617315,control,2022-03-09,2022-03-10,31,Moscow,social_media,photo,17,33244,9
a8116544e234426bb4f7884580d47757,control,2022-03-14,2022-03-16,71,Chelyabinsk,target,no_reviews,7,83374,15
269174b0b07b404fa6f675bd6113da4b,control,2022-03-03,2022-03-03,21,Yekaterinburg,email_maketing,no_reviews,3,24653,6
972f73f21c1a4b61a6479133f9ce0751,control,2022-03-17,2022-03-18,39,Omsk,target,no_reviews,5,51822,31
27027e6d22e74229bbf80e522b382110,control,2022-03-04,2022-03-06,52,region,email_maketing,photo,9,74620,1
2feebae9e1cd45208751bebfe15f2a30,control,2022-03-13,2022-03-13,14,Samara,target,no_reviews,2,68331,22
7e3748d0d0e24ef289fe56399466a9af,control,2022-03-01,2022-03-02,46,Novosibirsk,email_maketing,video_and_photo,13,18565,18
dc6d1ae2761947eaab19c4d6cd6bd70f,control,2022-03-15,2022-03-16,36,Moscow,target,video_and_photo,5,36405,4
d4e40e4177aa438396ad102cc32ef2c4,control,2022-03-12,2022-03-14,56,Novosibirsk,target,no_reviews,5,62170,21
153a77d460cb484d8bf9e249184668b2,control,2022-03-05,2022-03-06,34,Chelyabinsk,social_media,video,18,34247,10
62c4533550c14a7a9e27f5ab5d7cb52b,control,2022-03-14,2022-03-15,34,Samara,target,video_and_photo,4,51111,2
d89f91062f564964af2bd0cd82af2521,control,2022-03-16,2022-03-19,73,Moscow,target,video,5,7079,16
6566814ddbc84e67912b099d26f22fa6,control,2022-03-12,2022-03-15,79,Kazan,email_maketing,video,10,82440,29
d689c262c83543ecb04c0794231ce13d,control,2022-03-11,2022-03-11,19,Kazan,social_media,text,1,43851,19
3f5b280c22cc4cbf9f99443b5038792d,control,2022-03-06,2022-03-09,77,region,target,photo,19,7719,16
4fda59918e27476e8a2e393677e56819,control,2022-03-19,2022-03-20,25,Kazan,target,no_reviews,3,70679,22
195d55519ea44bf494f686dad04feb5e,control,2022-03-13,2022-03-15,57,Saint Petersburg,social_media,video_and_photo,1,29336,2
0221230cc6ef4a579938598c0346092c,control,2022-03-01,2022-03-01,23,Samara,email_maketing,video,9,5055,24
620eaac1dc79426c8fbfff9cf1a842df,control,2022-03-04,2022-03-06,61,Novosibirsk,email_maketing,video,13,65679,24
5b01d22cf02e4c488d3d07980d6d206b,control,2022-03-19,2022-03-21,57,region,target,video_and_photo,19,9096,9
9f411f8f05ee47bb8df271a6702f3d87,control,2022-03-05,2022-03-05,12,Moscow,email_maketing,no_reviews,11,20781,15
2b98d59f2a41440c88ddc121aca58818,control,2022-03-18,2022-03-18,12,region,social_media,no_reviews,18,62809,10
f3bec94c545d47f6aed108723c2c2aca,control,2022-03-02,2022-03-05,74,Yekaterinburg,email_maketing,photo,7,54303,22
79ba778db7dc4e67af3174f40ddfff53,control,2022-03-18,2022-03-18,9,region,target,text,19,44903,7
98107d12bf054a7da0c5a0a8fc77cac8,control,2022-03-14,2022-03-16,61,region,social_media,no_reviews,12,37711,12
b7842516b1d44aeeb43fd4893c386983,control,2022-03-17,2022-03-17,19,Saint Petersburg,social_media,no_reviews,2,26062,1
7595e401ae9949859d4f4497c5f5821c,control,2022-03-06,2022-03-07,42,Chelyabinsk,target,video_and_photo,17,79858,20
b79068dc006d40c5b9f5861ea23496f6,control,2022-03-03,2022-03-04,44,Moscow,target,video,16,11488,30
006ba02f85534a7dadab38dbdccfc684,control,2022-03-01,2022-03-02,38,Moscow,social_media,photo,1,35515,17
bb33086451f843268b1802ca9fbb1767,control,2022-03-07,2022-03-09,69,Omsk,email_maketing,no_reviews,4,10013,17
70b5529ee5ba40adb9bcfd870fd5372b,control,2022-03-01,2022-03-01,18,Novosibirsk,email_maketing,text,5,59109,3
bbac0fc1ee4941ee94b1d7578a79241f,control,2022-03-02,2022-03-02,9,Yekaterinburg,email_maketing,video,16,38417,28
f37dbdab37a744e28869c576892f9d91,control,2022-03-18,2022-03-19,24,Saint Petersburg,social_media,video_and_photo,4,11809,24
a858acf0a6694d1ab499a2d406167c78,control,2022-03-13,2022-03-15,68,region,target,video,9,67259,5
147e0bddb1f8456f9532ad7fe1c76120,control,2022-03-19,2022-03-21,66,Moscow,target,no_reviews,1,44663,24
db2159fec32c48c2bc7f66f7472ad36b,control,2022-03-12,2022-03-13,38,Novosibirsk,social_media,photo,13,57184,6
d30fc68a0c324a3da73a264fceec76e8,control,2022-03-03,2022-03-03,13,region,social_media,text,4,68395,21
2ebb772a2ed748ad8717cb806414f466,control,2022-03-12,2022-03-12,17,Samara,social_media,video_and_photo,4,22773,8
b8378d492a8845458b607a624a1ac0f8,control,2022-03-01,2022-03-01,17,Yekaterinburg,email_maketing,no_reviews,16,16246,31
afc5bc40fd734a7b80baf2a00138ba2d,control,2022-03-15,2022-03-15,8,Moscow,target,text,9,37989,10
9af77c3d8598412d8cf65f603227e0c6,control,2022-03-16,2022-03-18,62,Moscow,social_media,video,17,68020,16
17f2f32f80e0488aa2edc75c40826729,control,2022-03-04,2022-03-06,59,Samara,target,photo,16,71696,11
752b9e84644049e2af37eeef1fd48822,control,2022-03-12,2022-03-15,77,Omsk,social_media,video_and_photo,7,7248,6
58f67a41be7d41ea8a1e4636b46fe411,control,2022-03-13,2022-03-15,49,Samara,social_media,video,7,41303,28
d855f8fa10444bd8bb22d9fbe73ab7f6,control,2022-03-10,2022-03-13,73,Moscow,target,photo,14,14737,30
f18c36c99d104b1d89272b03278b9d1d,control,2022-03-16,2022-03-16,13,Yekaterinburg,email_maketing,photo,5,24617,0
995cae06d83a494dad023ad12e8ce7a0,control,2022-03-11,2022-03-13,65,Samara,target,photo,16,68679,14
6ec974989aee4dbc888aadac0b1aa208,control,2022-03-13,2022-03-15,52,Saint Petersburg,target,video,3,56199,9
0d1aa666c4a247738560a6b0046611ed,control,2022-03-18,2022-03-20,52,Omsk,email_maketing,text,6,42455,16
0c16461c576947a79d24205561857d6a,control,2022-03-09,2022-03-10,43,Saint Petersburg,social_media,text,14,5121,11
c67c5e3c9b454ce4b89f28754548cdf5,control,2022-03-16,2022-03-17,39,Omsk,target,no_reviews,19,67860,25
3184415167464ef98bd3511ace20fa22,control,2022-03-09,2022-03-11,58,Samara,social_media,video,16,36971,17
524facb09e5a4b16b0f47a3b26c5734c,control,2022-03-11,2022-03-11,11,Chelyabinsk,target,video,13,27117,3
9fc67b1fbfd540f8b98eef7cc7d2f7b6,control,2022-03-09,2022-03-10,38,Chelyabinsk,social_media,video_and_photo,12,36116,14
27b0213aac6d4823ae2a6a1b9fb942da,control,2022-03-03,2022-03-04,38,Chelyabinsk,target,photo,8,20677,23
e6041e3f51d8445190f73da3f639af01,control,2022-03-10,2022-03-11,35,region,social_media,video_and_photo,11,41827,8
e3f1dd3f73ea4e1b8400cdcfeba67f43,control,2022-03-04,2022-03-04,6,Samara,social_media,video,12,44816,22
34b99415546e45abb8f8fe00c0ade4c3,control,2022-03-01,2022-03-03,63,Moscow,email_maketing,text,3,14857,14
0a84362d7f564de4a25d3076abf26e04,control,2022-03-10,2022-03-10,18,Chelyabinsk,social_media,video,6,28994,12
4b701e4a5d2540fc84435250e1cb36a5,control,2022-03-19,2022-03-19,15,Samara,target,video_and_photo,2,2503,18
019a3eacc62146f6ab01358a95583474,control,2022-03-04,2022-03-07,77,Novosibirsk,target,video_and_photo,5,52287,13
c17f49806ad24aa9a836f12d5f132b10,control,2022-03-14,2022-03-16,57,Saint Petersburg,social_media,text,17,55386,13
255808c0ad3646739cfff05a9bc76d13,control,2022-03-16,2022-03-18,71,Saint Petersburg,email_maketing,video_and_photo,17,60677,19
30013ee85e1d45c8afa75863ea8b6cc7,control,2022-03-09,2022-03-09,23,Novosibirsk,email_maketing,no_reviews,9,64030,21
db47ccf556484eee8ca7e665b629df00,control,2022-03-13,2022-03-14,43,Moscow,target,no_reviews,12,46484,9
b9ea731f2a23473e8359c1d5789ead0e,control,2022-03-09,2022-03-09,13,Kazan,email_maketing,video_and_photo,4,13190,18
6f88d99a473b49199c9ab1ccac2c2fbf,control,2022-03-14,2022-03-16,60,Kazan,social_media,video_and_photo,10,6241,28
4c965303fc3242b58924d1e899793e1f,control,2022-03-18,2022-03-20,50,Kazan,social_media,video_and_photo,19,51840,1
d0ca3f26660043de9a709b2af73463ba,control,2022-03-10,2022-03-10,18,Chelyabinsk,email_maketing,video,10,67327,27
320d60a16b7e48d597ac6222b8937018,control,2022-03-12,2022-03-12,7,Omsk,target,no_reviews,8,5019,15
d6fc8de5a5bf4e76b4f029300c323e63,control,2022-03-03,2022-03-06,76,Kazan,social_media,video,8,27693,23
f839ccda247a402f8ce97e84acb3d118,control,2022-03-04,2022-03-04,5,Moscow,social_media,no_reviews,2,28772,11
dda03e61457f45b38040aed3cad44e6c,control,2022-03-05,2022-03-06,46,Kazan,social_media,no_reviews,16,44862,14
09c5220525e24ff7bab923aa7374aad7,control,2022-03-08,2022-03-11,78,Moscow,email_maketing,no_reviews,6,77760,7
60dd1d6f2dec4b48a7ca9d807382a167,control,2022-03-13,2022-03-13,12,Moscow,social_media,video,5,52081,11
b9ca141c41514d5c93bb9ecd52303fa2,control,2022-03-07,2022-03-10,78,Novosibirsk,email_maketing,video,5,75158,11
1127f39ad7b24220bebd9d12288970f5,control,2022-03-09,2022-03-11,69,Omsk,social_media,no_reviews,3,72791,30
70c3d852f7d745588266cdaeb611c9ab,control,2022-03-12,2022-03-12,9,Saint Petersburg,social_media,video_and_photo,3,30731,1
a3f7903753134513be582860f8d9ec3e,control,2022-03-17,2022-03-17,10,Samara,social_media,video,14,6339,22
be5905d703734758a301ba89e1f3c931,control,2022-03-06,2022-03-09,75,Samara,target,video_and_photo,15,28672,16
4e4f827b329049ffa5359eaa691fba4c,control,2022-03-17,2022-03-19,70,Kazan,email_maketing,text,5,74599,22
5b325cac7c1a4ba0bb6ca38436b33b54,control,2022-03-19,2022-03-21,68,region,email_maketing,video_and_photo,4,50652,11
4f03f63fad3543ceaf369bc3a6767f19,control,2022-03-07,2022-03-07,15,Yekaterinburg,social_media,text,18,20891,3
b61902023a1d4a5c92ad243a12a8ecf1,control,2022-03-03,2022-03-05,57,Novosibirsk,target,no_reviews,15,14233,21
8b9980f652014396b0cee0227a1f4c1e,control,2022-03-08,2022-03-09,41,Omsk,email_maketing,no_reviews,5,16504,2
6b85b9faec184df691d4a86227a970bc,control,2022-03-01,2022-03-02,42,Moscow,social_media,video,2,57056,1
593fc8a0e61e479e8e00a552c16ab87b,control,2022-03-18,2022-03-19,41,Samara,target,text,3,36571,7
3c093aed68c943d29052d021d1cc5090,control,2022-03-16,2022-03-19,77,Yekaterinburg,social_media,photo,13,13094,24
0beb89bcbe7d4beab357677f5b1313fc,control,2022-03-17,2022-03-17,23,region,email_maketing,no_reviews,8,58117,23
d39a39b86aa544a39f5325ee20921142,control,2022-03-12,2022-03-14,53,Omsk,target,photo,11,81719,11
ed088df1ba3442e5b6a104fbbf29261e,control,2022-03-08,2022-03-09,24,Samara,target,video,11,83499,8
44cc8c1e73b840ac98e0c089af2cbe7f,control,2022-03-13,2022-03-14,31,Saint Petersburg,target,no_reviews,12,46242,31
1cdea7c0f6b547d0af729f84a2246fba,control,2022-03-01,2022-03-01,12,Samara,email_maketing,video,9,71696,12
e2705e5e8f884e83aac58885e71c0740,control,2022-03-16,2022-03-18,53,Samara,target,video,17,76590,1
c2703f1ff5b14ac9a75d5f986dc30cf3,control,2022-03-07,2022-03-08,39,Omsk,target,photo,9,79455,26
7c67ff764bba4091b24710216d4d09b8,control,2022-03-17,2022-03-19,69,region,target,no_reviews,2,32928,1
ce65c1fb1cdc429aabf76bc7555c6f15,control,2022-03-16,2022-03-19,79,Omsk,email_maketing,video,19,17677,4
ee843dc7170149e4ac9a183388d98fe9,control,2022-03-07,2022-03-08,27,Samara,email_maketing,no_reviews,8,52086,15
592661efaa2e4b0e8b1821ccbf54d43d,control,2022-03-09,2022-03-09,5,Chelyabinsk,email_maketing,no_reviews,1,12355,3
4794e609eae9414cac2e779a23f349c6,control,2022-03-20,2022-03-22,57,Saint Petersburg,social_media,photo,14,82738,14
d56a242df4544f029e91ce9ce901ce1e,control,2022-03-15,2022-03-17,62,Samara,target,video_and_photo,13,26076,12
ef314dc066cc43d081691c5f9afb7ab1,control,2022-03-01,2022-03-04,73,Omsk,email_maketing,text,6,56092,6
13434d50168b48569dc6cb1467a7efe0,control,2022-03-14,2022-03-16,69,Yekaterinburg,email_maketing,video_and_photo,2,48574,20
e50369a7a85c4f988533857ed7068c8c,control,2022-03-01,2022-03-03,68,Novosibirsk,social_media,video_and_photo,15,8234,29
9aca01e234b84055b236cd8b0f8f950d,control,2022-03-07,2022-03-07,17,Samara,social_media,photo,8,37074,16
683026d0a03145f885458a0e089c4d2b,control,2022-03-07,2022-03-09,48,region,target,text,12,45722,22
efae7dd0f972431da74b5baf846233db,control,2022-03-13,2022-03-14,31,Omsk,target,video_and_photo,1,72899,32
52e0509c87814ec09d5e18ae1dc1dcfc,control,2022-03-17,2022-03-18,27,Chelyabinsk,social_media,text,8,32518,32
eaa9d1763aaf4fd4a1d64e744ce1e640,control,2022-03-09,2022-03-12,76,Chelyabinsk,target,photo,15,24853,7
275b06ea01df40f7b329980b07183769,control,2022-03-17,2022-03-17,17,Yekaterinburg,social_media,no_reviews,1,45058,1
cd519e213205485a8ccef8022c6d97d9,control,2022-03-16,2022-03-18,52,Kazan,email_maketing,photo,16,34733,9
04f608810c6a4a64a40c7036e8f56fe7,control,2022-03-15,2022-03-16,31,Saint Petersburg,email_maketing,no_reviews,12,48301,5
f880973bd6e743c883a4910602ec7fbd,control,2022-03-19,2022-03-19,14,Kazan,target,video,6,46178,13
80ac5d3147d44315964c36f96fac75b0,control,2022-03-11,2022-03-12,34,Chelyabinsk,target,video_and_photo,2,61707,14
941612cf6fcc4534a0959b0d5607a1bd,control,2022-03-03,2022-03-05,57,region,email_maketing,text,8,46233,14
bb7d8adbf6114d23b18c0019bb9caabf,control,2022-03-14,2022-03-16,59,Saint Petersburg,social_media,text,15,36954,12
45d64f0a7af2466cada6a06546cbc04b,control,2022-03-07,2022-03-09,68,Moscow,social_media,video_and_photo,4,12366,29
5202600fcc19424c80cacff243664fa1,control,2022-03-17,2022-03-18,25,Omsk,target,text,2,82251,18
3f9382309c1c42539919b4452b3e9ce2,control,2022-03-12,2022-03-14,55,Moscow,email_maketing,video,3,39783,11
4a099c4dd5a34591ba2aae817a7575d1,control,2022-03-06,2022-03-06,9,Moscow,social_media,video,13,9069,18
7459ec90bcc244cc89d45e999d208bea,control,2022-03-09,2022-03-09,6,Samara,target,video_and_photo,15,84453,31
e1a721904dd74082a8e4bf7dead44f59,control,2022-03-08,2022-03-10,52,Samara,target,video_and_photo,17,69576,0
a1d9435368684b4db5cef67e28edacda,control,2022-03-03,2022-03-03,8,Saint Petersburg,target,video_and_photo,15,72218,22
2b572d25d86645ada57994bbbd816c45,control,2022-03-03,2022-03-03,8,Saint Petersburg,target,video,16,8974,29
e510f22191c346acb1da822965707c0e,control,2022-03-05,2022-03-05,20,Omsk,email_maketing,video,1,84113,9
116ca2d2176c4ab8afda2f851f539114,control,2022-03-16,2022-03-18,52,Samara,target,video,14,8461,0
47241c6a8120455eb26166a7f722997e,control,2022-03-19,2022-03-20,25,Omsk,social_media,text,18,47338,13
6cdda2f7ac4d426ea04aec4fffb3d8fb,control,2022-03-03,2022-03-03,13,Yekaterinburg,email_maketing,photo,19,35565,20
4c0ec4fda97a4b92bddf76e17c80d2c0,control,2022-03-06,2022-03-07,37,Omsk,email_maketing,photo,4,15009,30
2ff167d4e52643bf814b26b4397f6877,control,2022-03-10,2022-03-11,44,Chelyabinsk,email_maketing,no_reviews,9,11529,11
c882ee7f1acd4fafb31f0720ea7b3834,control,2022-03-13,2022-03-15,49,Samara,social_media,photo,11,59287,2
e7737ed97d784e4aa1ce98c3dfd67d59,control,2022-03-02,2022-03-05,75,Yekaterinburg,target,text,9,48739,23
9f9346192ec245ae8781826d0ce8d255,control,2022-03-16,2022-03-17,30,Moscow,email_maketing,video_and_photo,10,66021,21
da6d7eeed5394bb9b7e0882354ea88a6,control,2022-03-03,2022-03-05,55,Omsk,email_maketing,video,4,38884,0
f892808299124724805b42493365bd6e,control,2022-03-12,2022-03-14,48,Saint Petersburg,social_media,photo,18,9745,24
f599fc9d685442059f414d8fbb63b47c,control,2022-03-14,2022-03-14,8,Saint Petersburg,target,video,2,50755,14
e122494a54024a529d7c5dbeec89e753,control,2022-03-14,2022-03-17,76,Samara,email_maketing,text,10,55582,28
2c4dc58b1ea64aeaad0ed13d5b711b7e,control,2022-03-02,2022-03-04,63,Kazan,social_media,photo,1,17835,18
f08851c5cc92435fa9076ee98e5dcaff,control,2022-03-10,2022-03-13,78,Moscow,social_media,no_reviews,19,72014,7
3cb8b70fb3db40e3987a0361dfe3cbc0,control,2022-03-14,2022-03-15,47,Yekaterinburg,social_media,video_and_photo,16,46794,28
2356d6ac477d4f3aa22b0627277f8bcc,control,2022-03-03,2022-03-05,50,Saint Petersburg,target,text,9,65045,12
d32f9fb7c4e04d7d919848edfc63d7d9,control,2022-03-20,2022-03-20,4,region,email_maketing,text,19,83755,22
1576b0824ee342bc9829375eb6ea6f79,control,2022-03-11,2022-03-12,25,Novosibirsk,social_media,text,1,51918,14
b0182d1896ca49618b6e765d0ca09921,control,2022-03-20,2022-03-22,53,Chelyabinsk,email_maketing,video_and_photo,3,15327,2
5e3fb1e368354cbf917ae65e12603e51,control,2022-03-17,2022-03-20,77,region,social_media,video,13,39438,8
afe4811b7daa4fdabd41cadd9a9fddbb,control,2022-03-11,2022-03-11,19,Novosibirsk,target,video,15,19837,7
08389b64a0be4b3eb13dd25d02968e7a,control,2022-03-07,2022-03-07,16,Novosibirsk,email_maketing,video,6,66723,17
96f76dfd27444780aa5853f38f3ab431,control,2022-03-05,2022-03-08,74,Chelyabinsk,social_media,no_reviews,8,20497,11
fc7c18b870d34712a524bb6387b7e002,control,2022-03-02,2022-03-03,25,Moscow,target,video,7,10946,18
9dae0e2e7d2c4e12bde76465172ef61c,control,2022-03-16,2022-03-17,28,Omsk,social_media,no_reviews,6,8418,21
fc74781b10f44c0b8bab9bbc43fba9fc,control,2022-03-05,2022-03-07,63,Yekaterinburg,email_maketing,video,2,4289,6
7219289e12fa4c429e64f425c1b2358c,control,2022-03-02,2022-03-03,33,Novosibirsk,target,text,16,17371,23
0cf6d37a2fc74a39999106beaa0288af,control,2022-03-01,2022-03-03,64,Saint Petersburg,email_maketing,video_and_photo,12,69447,2
c9824e0cb35f48bd9e0b37b42fac64a5,control,2022-03-05,2022-03-06,27,Chelyabinsk,target,photo,7,63677,26
4935bb1ca3414b69b575217dbbb4f822,control,2022-03-12,2022-03-13,39,region,target,text,13,21556,27
46663a2f1f1f4d199493ffa8dd992da2,control,2022-03-18,2022-03-20,70,Saint Petersburg,email_maketing,video,5,19826,3
537d7622b78d4357b807cd19679befa5,control,2022-03-03,2022-03-04,28,Moscow,email_maketing,photo,11,15913,4
0ce11e36dfbd4015825b9014877b5dac,control,2022-03-13,2022-03-13,4,Samara,email_maketing,no_reviews,9,22757,20
903e21baa7da4a2bb7aaffc3a2cb7708,control,2022-03-20,2022-03-20,5,region,target,text,6,47663,19
1714e7c3af0d4195bcebd12a3a900ac3,control,2022-03-09,2022-03-10,24,Kazan,social_media,no_reviews,18,40235,7
ed10b50fe3cb4a6d9b5eb28c2c52a3e7,control,2022-03-18,2022-03-18,22,Chelyabinsk,social_media,photo,15,51296,5
e3f9758738b74ab6a631f656308b8a07,control,2022-03-03,2022-03-05,63,Kazan,email_maketing,photo,5,60646,22
5203901378d44015bc4cd93d1605093b,control,2022-03-07,2022-03-09,57,Novosibirsk,social_media,video_and_photo,17,82775,6
da1805cd5ba849e5b91f85b89afde8dd,control,2022-03-15,2022-03-16,40,Saint Petersburg,social_media,video_and_photo,10,4025,14
dce7e5ebbb2940eda4e0de29864fd74c,control,2022-03-09,2022-03-10,30,Omsk,social_media,no_reviews,16,24760,20
94549a9e2e3146b3b65b2f4144705cab,control,2022-03-18,2022-03-20,69,Saint Petersburg,email_maketing,video,4,37710,6
2e5f7c7cf44a4c3cad17586694d59372,control,2022-03-10,2022-03-12,58,Samara,target,video_and_photo,7,55850,8
68758d6b3d3e41808ac887c22e213ef1,control,2022-03-08,2022-03-10,64,Omsk,email_maketing,video_and_photo,9,37524,2
82cba9dddb914946b5038dad76c5731b,control,2022-03-03,2022-03-04,33,Samara,social_media,no_reviews,10,22723,29
607d5bc23dbb45bc841ac04273b706a0,control,2022-03-17,2022-03-18,27,Chelyabinsk,target,no_reviews,2,44684,0
21ac9e9a2ae84d1c9f09359c9430e215,control,2022-03-10,2022-03-10,23,region,social_media,no_reviews,1,82229,5
6632098ea53349a4b40322e672de4681,control,2022-03-03,2022-03-06,74,Moscow,email_maketing,text,4,29159,1
bf75689c22774907aafa6b724da84e73,control,2022-03-16,2022-03-16,20,Moscow,target,text,1,13939,32
748c9c8ee0e24a0daf60745a4055fd3a,control,2022-03-20,2022-03-20,22,Moscow,email_maketing,photo,4,82323,10
ef1b0c5885fc424894a9eadb17c0f94a,control,2022-03-06,2022-03-06,9,Novosibirsk,social_media,no_reviews,10,12628,30
b6eea6cd8d814a318aaf7a60b506ad99,control,2022-03-12,2022-03-12,22,region,social_media,no_reviews,14,23929,8
84ea321706164eb2817e4a85db9c8830,control,2022-03-09,2022-03-11,68,Omsk,target,photo,3,34224,17
ad7b862a1c5246ba86b51f1a6b54c932,control,2022-03-15,2022-03-17,61,Yekaterinburg,target,no_reviews,19,67673,9
